lich_su_id,user_id,book_id,ngay_bat_dau,ngay_ket_thuc,rating_user,review_text,trang_thai,phan_tram_hoan_thanh,sentiment,reading_id,so_trang_doc,thoi_gian_doc_phut,ten_sach,tac_gia,the_loai,so_trang,loai_sach,rating_book,nam_xuat_ban,quoc_gia,gia_sach,price_range,rating_level,ho_ten,email,gioi_tinh,ngay_sinh,thanh_pho,ngay_dang_ky,diem_danh_gia_trung_binh,so_luong_sach_da_mua_x,tuoi,age_group,so_luong_sach_da_mua_y,so_luong_sach_da_mua
23.0,6,30,2024-03-18 00:00:00,2024-03-26,5.0,Rất hay,Chưa bắt đầu,25.0,Positive,,,,Big Little Lies,J.K. Rowling,History,342,Truyện chữ,4.9,2024,UK,90000,Low,Excellent,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
24.0,8,44,2024-04-14 00:00:00,2024-04-22,3.0,Ổn áp,Bỏ dở,100.0,Positive,,,,Sức Mạnh Hiện Tại,Ernest Hemingway,Business,226,Truyện tranh,4.5,2024,USA,201000,Medium,Excellent,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
25.0,10,36,2024-11-07 00:00:00,2024-11-13,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,52.0,Positive,,,,Romeo and Juliet,Nam Cao,Romance,868,Truyện chữ,3.6,2020,Vietnam,238000,Medium,Average,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
26.0,6,22,2024-09-05 00:00:00,2024-09-14,4.0,Đáng đọc,Đã đọc xong,38.0,Positive,,,,The Intelligent Investor,George Orwell,Fantasy,651,Truyện chữ,3.4,2016,UK,291000,High,Low,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
27.0,8,23,2024-05-19 00:00:00,2024-05-25,5.0,Đáng đọc,Đã đọc xong,28.0,Positive,,,,Zero to One,Victor Hugo,Romance,589,Truyện chữ,3.9,2010,France,185000,Medium,Average,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
28.0,6,10,2024-06-04 00:00:00,2024-06-14,2.0,Không hay lắm,Đang đọc,94.0,Negative,,,,Conan,Gosho Aoyama,Business,669,Truyện chữ,4.7,2023,Japan,175000,Medium,Excellent,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
29.0,8,27,2024-06-17 00:00:00,2024-06-23,1.0,Hơi chán,Bỏ dở,69.0,Negative,,,,Agatha Christie Collection,Nam Cao,Fantasy,752,Truyện chữ,3.5,2023,Vietnam,236000,Medium,Average,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
30.0,9,48,2024-08-14 00:00:00,2024-08-19,3.0,Ổn áp,Đã đọc xong,43.0,Negative,,,,Những Người Khốn Khổ,Ernest Hemingway,Business,291,Truyện tranh,4.4,2015,USA,309000,High,Good,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
31.0,10,48,2024-03-02 00:00:00,2024-03-06,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,54.0,Positive,,,,Những Người Khốn Khổ,Ernest Hemingway,Business,291,Truyện tranh,4.4,2015,USA,309000,High,Good,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
32.0,3,37,2024-02-09 00:00:00,2024-02-14,3.0,Ổn áp,Đang đọc,32.0,Positive,,,,Pride and Prejudice,Ernest Hemingway,Classic,580,Truyện tranh,3.4,2018,UK,152000,Medium,Low,Bùi Huy,buihuy95@gmail.com,Nữ,2004-04-15 00:00:00,Đà Nẵng,2022-02-24,4.2,1.0,22.0,18-25,17.0,21.0
33.0,9,29,2024-01-03 00:00:00,2024-01-07,4.0,Rất hay,Đã đọc xong,70.0,Positive,,,,The Girl on the Train,Agatha Christie,Self-help,594,Truyện tranh,5.0,2015,UK,268000,High,Excellent,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
34.0,4,41,2024-12-07 00:00:00,2024-12-14,4.0,Rất hay,Đã đọc xong,53.0,Positive,,,,Kỹ Năng Giao Tiếp,Haruki Murakami,Romance,314,Truyện chữ,4.2,2024,Japan,332000,High,Good,Vũ Long,vulong88@gmail.com,Nữ,1990-03-07 00:00:00,Đà Nẵng,2025-11-30,4.9,22.0,36.0,35+,17.0,19.0
35.0,9,50,2024-10-03 00:00:00,2024-10-13,3.0,Ổn áp,Chưa bắt đầu,43.0,Positive,,,,Germinal,Stephen King,Classic,337,Truyện chữ,3.9,2017,USA,282000,High,Average,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
36.0,2,46,2024-08-17 00:00:00,2024-08-21,3.0,Ổn áp,Đã đọc xong,18.0,Positive,,,,Bá Tước Monte Cristo,Ernest Hemingway,Fantasy,190,Truyện chữ,3.8,2020,USA,303000,High,Average,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
37.0,7,30,2024-04-06 00:00:00,2024-04-14,2.0,Hơi chán,Bỏ dở,48.0,Negative,,,,Big Little Lies,J.K. Rowling,History,342,Truyện chữ,4.9,2024,UK,90000,Low,Excellent,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
38.0,2,25,2024-08-10 00:00:00,2024-08-20,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,20.0,Positive,,,,Start with Why,Osamu Dazai,Classic,168,Truyện tranh,3.2,2021,Japan,199000,Medium,Low,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
39.0,5,11,2024-08-09 00:00:00,2024-08-12,3.0,Ổn áp,Bỏ dở,31.0,Positive,,,,Harry Potter,J.K. Rowling,Business,450,Truyện chữ,4.0,2021,UK,176000,Medium,Good,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
40.0,6,33,2024-08-13 00:00:00,2024-08-21,2.0,Nội dung yếu,Chưa bắt đầu,13.0,Negative,,,,Freakonomics,Nguyễn Nhật Ánh,Psychology,805,Truyện chữ,4.6,2019,Vietnam,105000,Low,Excellent,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
41.0,4,13,2024-04-02 00:00:00,2024-04-11,2.0,Hơi chán,Bỏ dở,54.0,Negative,,,,Foundation,Dan Brown,Romance,464,Truyện chữ,4.6,2015,UK,217000,Medium,Excellent,Vũ Long,vulong88@gmail.com,Nữ,1990-03-07 00:00:00,Đà Nẵng,2025-11-30,4.9,22.0,36.0,35+,17.0,19.0
42.0,8,14,2024-08-14 00:00:00,2024-08-17,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,64.0,Positive,,,,Dune,Frank Herbert,History,749,Truyện chữ,4.0,2011,USA,108000,Low,Good,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
43.0,4,13,2024-07-13 00:00:00,2024-07-17,3.0,Ổn áp,Đang đọc,82.0,Negative,,,,Foundation,Dan Brown,Romance,464,Truyện chữ,4.6,2015,UK,217000,Medium,Excellent,Vũ Long,vulong88@gmail.com,Nữ,1990-03-07 00:00:00,Đà Nẵng,2025-11-30,4.9,22.0,36.0,35+,17.0,19.0
44.0,3,26,2024-12-04 00:00:00,2024-12-11,4.0,Đáng đọc,Đang đọc,39.0,Positive,,,,Sherlock Holmes,J.K. Rowling,Literature,860,Truyện chữ,3.8,2011,UK,344000,High,Average,Bùi Huy,buihuy95@gmail.com,Nữ,2004-04-15 00:00:00,Đà Nẵng,2022-02-24,4.2,1.0,22.0,18-25,17.0,21.0
45.0,10,31,2024-06-18 00:00:00,2024-06-23,3.0,Ổn áp,Chưa bắt đầu,25.0,Negative,,,,Lịch Sử Loài Người,Natsume Soseki,Classic,383,Truyện chữ,4.5,2012,Japan,91000,Low,Excellent,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
46.0,5,8,2024-05-01 00:00:00,2024-05-08,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,54.0,Positive,,,,Naruto,Masashi Kishimoto,Classic,747,Truyện tranh,5.0,2023,Japan,260000,High,Excellent,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
47.0,5,44,2024-02-10 00:00:00,2024-02-17,3.0,Ổn áp,Chưa bắt đầu,81.0,Negative,,,,Sức Mạnh Hiện Tại,Ernest Hemingway,Business,226,Truyện tranh,4.5,2024,USA,201000,Medium,Excellent,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
48.0,9,50,2024-04-13 00:00:00,2024-04-17,4.0,Cực kỳ cuốn hút,Đang đọc,86.0,Positive,,,,Germinal,Stephen King,Classic,337,Truyện chữ,3.9,2017,USA,282000,High,Average,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
49.0,10,24,2024-04-04 00:00:00,2024-04-07,5.0,Đáng đọc,Đang đọc,38.0,Positive,,,,Good to Great,Mark Twain,Classic,898,Truyện chữ,4.9,2024,USA,180000,Medium,Excellent,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
50.0,6,44,2024-12-17 00:00:00,2024-12-22,5.0,Đáng đọc,Bỏ dở,36.0,Positive,,,,Sức Mạnh Hiện Tại,Ernest Hemingway,Business,226,Truyện tranh,4.5,2024,USA,201000,Medium,Excellent,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
51.0,9,43,2024-02-02 00:00:00,2024-02-10,2.0,Hơi chán,Đã đọc xong,42.0,Negative,,,,Tư Duy Nhanh Chậm,Ngô Tất Tố,Manga,737,Truyện tranh,4.4,2012,Japan,348000,High,Good,Phan Huy,phanhuy10@gmail.com,Nữ,1990-12-22 00:00:00,Đà Nẵng,2024-01-29,4.3,39.0,36.0,35+,22.0,26.0
52.0,7,12,2024-05-09 00:00:00,2024-05-15,2.0,Nội dung yếu,Đã đọc xong,41.0,Negative,,,,The Hobbit,J.R.R. Tolkien,Fantasy,846,Truyện chữ,4.4,2013,UK,197000,Medium,Good,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
53.0,4,43,2024-01-05 00:00:00,2024-01-15,4.0,Đáng đọc,Chưa bắt đầu,94.0,Positive,,,,Tư Duy Nhanh Chậm,Ngô Tất Tố,Manga,737,Truyện tranh,4.4,2012,Japan,348000,High,Good,Vũ Long,vulong88@gmail.com,Nữ,1990-03-07 00:00:00,Đà Nẵng,2025-11-30,4.9,22.0,36.0,35+,17.0,19.0
54.0,5,11,2024-06-09 00:00:00,2024-06-15,3.0,Ổn áp,Bỏ dở,77.0,Negative,,,,Harry Potter,J.K. Rowling,Business,450,Truyện chữ,4.0,2021,UK,176000,Medium,Good,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
55.0,4,1,2024-09-20 00:00:00,2024-09-30,2.0,Không hay lắm,Bỏ dở,76.0,Negative,,,,Đắc Nhân Tâm,Dale Carnegie,Business,408,Truyện chữ,4.0,2020,USA,288000,High,Good,Vũ Long,vulong88@gmail.com,Nữ,1990-03-07 00:00:00,Đà Nẵng,2025-11-30,4.9,22.0,36.0,35+,17.0,19.0
56.0,7,3,2024-11-18 00:00:00,2024-11-24,2.0,Nội dung yếu,Bỏ dở,97.0,Negative,,,,Sapiens,Yuval Noah Harari,Manga,455,Truyện tranh,4.4,2017,Israel,256000,High,Good,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
57.0,5,9,2024-05-18 00:00:00,2024-05-23,5.0,Rất hay,Bỏ dở,88.0,Positive,,,,Dragon Ball,Akira Toriyama,Romance,893,Truyện tranh,3.6,2018,Japan,268000,High,Average,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
58.0,8,34,2024-06-19 00:00:00,2024-06-25,3.0,Ổn áp,Chưa bắt đầu,93.0,Negative,,,,Outliers,Nam Cao,Literature,827,Truyện chữ,4.4,2010,Vietnam,141000,Medium,Good,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
59.0,6,36,2024-04-08 00:00:00,2024-04-15,2.0,Nội dung yếu,Chưa bắt đầu,70.0,Negative,,,,Romeo and Juliet,Nam Cao,Romance,868,Truyện chữ,3.6,2020,Vietnam,238000,Medium,Average,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
60.0,8,2,2024-12-15 00:00:00,2024-12-24,1.0,Không hay lắm,Chưa bắt đầu,61.0,Negative,,,,Nhà Giả Kim,Paulo Coelho,Literature,748,Truyện chữ,3.2,2020,Brazil,228000,Medium,Low,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
61.0,5,44,2024-03-10 00:00:00,2024-03-17,1.0,Nội dung yếu,Đã đọc xong,58.0,Negative,,,,Sức Mạnh Hiện Tại,Ernest Hemingway,Business,226,Truyện tranh,4.5,2024,USA,201000,Medium,Excellent,Vũ Dung,vudung25@gmail.com,Nữ,1988-06-20 00:00:00,HCM,2022-07-09,3.5,3.0,38.0,35+,15.0,18.0
62.0,10,26,2024-07-07 00:00:00,2024-07-17,1.0,Hơi chán,Chưa bắt đầu,71.0,Negative,,,,Sherlock Holmes,J.K. Rowling,Literature,860,Truyện chữ,3.8,2011,UK,344000,High,Average,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
63.0,6,46,2024-03-13 00:00:00,2024-03-18,3.0,Ổn áp,Đang đọc,78.0,Positive,,,,Bá Tước Monte Cristo,Ernest Hemingway,Fantasy,190,Truyện chữ,3.8,2020,USA,303000,High,Average,Trần Trang,trantrang48@gmail.com,Nữ,1999-02-18 00:00:00,HCM,2025-01-03,3.6,41.0,27.0,25-35,21.0,32.0
64.0,10,24,2024-11-08 00:00:00,2024-11-11,2.0,Không hay lắm,Chưa bắt đầu,35.0,Negative,,,,Good to Great,Mark Twain,Classic,898,Truyện chữ,4.9,2024,USA,180000,Medium,Excellent,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
65.0,8,10,2024-10-13 00:00:00,2024-10-20,1.0,Không hay lắm,Đang đọc,57.0,Negative,,,,Conan,Gosho Aoyama,Business,669,Truyện chữ,4.7,2023,Japan,175000,Medium,Excellent,Lý Dung,lydung54@gmail.com,Nữ,1987-05-15 00:00:00,Cần Thơ,2023-04-22,4.3,24.0,39.0,35+,19.0,25.0
66.0,2,9,2024-08-02 00:00:00,2024-08-12,2.0,Hơi chán,Bỏ dở,65.0,Negative,,,,Dragon Ball,Akira Toriyama,Romance,893,Truyện tranh,3.6,2018,Japan,268000,High,Average,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
67.0,3,35,2024-07-11 00:00:00,2024-07-18,3.0,Ổn áp,Bỏ dở,43.0,Negative,,,,Tipping Point,Dan Brown,Business,576,Truyện chữ,3.9,2018,USA,329000,High,Average,Bùi Huy,buihuy95@gmail.com,Nữ,2004-04-15 00:00:00,Đà Nẵng,2022-02-24,4.2,1.0,22.0,18-25,17.0,21.0
68.0,10,16,2024-05-02 00:00:00,2024-05-09,4.0,Đáng đọc,Bỏ dở,73.0,Positive,,,,Cà Phê Cùng Tony,George Orwell,Self-help,349,Truyện tranh,3.4,2020,UK,236000,Medium,Low,Ngô Khoa,ngokhoa63@gmail.com,Nam,1990-08-13 00:00:00,Đà Nẵng,2024-12-29,3.5,41.0,36.0,35+,22.0,27.0
69.0,7,22,2024-09-15 00:00:00,2024-09-25,2.0,Không hay lắm,Đã đọc xong,92.0,Negative,,,,The Intelligent Investor,George Orwell,Fantasy,651,Truyện chữ,3.4,2016,UK,291000,High,Low,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
70.0,7,1,2024-11-15 00:00:00,2024-11-19,5.0,Rất hay,Chưa bắt đầu,42.0,Positive,,,,Đắc Nhân Tâm,Dale Carnegie,Business,408,Truyện chữ,4.0,2020,USA,288000,High,Good,Đỗ Huy,đohuy24@gmail.com,Nam,2004-01-22 00:00:00,HCM,2024-01-11,3.5,19.0,22.0,18-25,25.0,29.0
71.0,2,40,2024-03-06 00:00:00,2024-03-14,1.0,Nội dung yếu,Đã đọc xong,44.0,Negative,,,,Great Expectations,Agatha Christie,Self-help,419,Truyện tranh,5.0,2015,UK,235000,Medium,Excellent,Đỗ Nga,đonga16@gmail.com,Nam,2002-01-03 00:00:00,Hải Phòng,2022-06-28,3.4,33.0,24.0,18-25,21.0,30.0
