user_id,ho_ten,email,gioi_tinh,ngay_sinh,thanh_pho,ngay_dang_ky,diem_danh_gia_trung_binh,so_luong_sach_da_mua
74,Nguyễn Huy,nguyenhuy57@gmail.com,Nam,1999-07-25,Cần Thơ,2024-05-01,4.2,45
75,Vũ Phúc,vuphuc22@gmail.com,Nam,1985-06-10,Đà Nẵng,2025-03-25,4.5,27
76,Dương Thảo,duongthao25@gmail.com,Nữ,2002-08-08,Đà Nẵng,2025-01-23,3.5,32
77,Phan Tuấn,phantuan27@gmail.com,Nam,1985-12-06,Cần Thơ,2024-03-07,4.7,9
78,Nguyễn Trang,nguyentrang56@gmail.com,Nữ,2004-10-19,HCM,2024-12-29,4.3,6
79,Lý Oanh,lyoanh86@gmail.com,Nữ,1998-01-09,Hà Nội,2022-10-05,3.8,14
80,Phan Xuân,phanxuan42@gmail.com,Nam,1999-05-25,HCM,2023-11-01,4.9,27
81,Đặng An,đangan78@gmail.com,Nam,1993-06-08,Cần Thơ,2022-06-17,4.3,50
82,Phạm Huy,phamhuy15@gmail.com,Nam,1986-10-05,Đà Nẵng,2022-03-05,3.5,31
83,Phạm Oanh,phamoanh33@gmail.com,Nữ,1988-06-06,Hà Nội,2025-03-01,4.2,48
84,Hoàng Dung,hoangdung68@gmail.com,Nữ,1988-05-19,HCM,2022-12-02,4.4,25
85,Trần Tâm,trantam17@gmail.com,Nữ,1997-02-23,Hà Nội,2023-02-11,4.5,44
86,Dương Tâm,duongtam45@gmail.com,Nữ,2004-06-18,Hà Nội,2022-09-05,3.9,24
87,Hồ Long,holong44@gmail.com,Nam,1987-07-27,Đà Nẵng,2024-11-02,4.0,28
88,Đinh Minh,đinhminh30@gmail.com,Nam,1996-12-05,Đà Nẵng,2025-07-25,3.9,47
89,Hoàng Thảo,hoangthao42@gmail.com,Nữ,2001-08-14,Cần Thơ,2025-08-25,4.7,38
90,Lý Khoa,lykhoa48@gmail.com,Nam,1993-05-15,Hà Nội,2023-10-23,3.5,30
91,Hồ Nam,honam33@gmail.com,Nam,2003-01-16,HCM,2025-06-03,4.7,12
92,Phan Yến,phanyen90@gmail.com,Nữ,2000-06-09,Đà Nẵng,2023-03-11,4.8,45
93,Nguyễn Quân,nguyenquan92@gmail.com,Nam,1993-02-08,Cần Thơ,2025-02-12,4.4,32
94,Ngô Phúc,ngophuc13@gmail.com,Nam,2002-08-26,Đà Nẵng,2023-05-08,3.0,19
95,Ngô Khoa,ngokhoa98@gmail.com,Nam,1992-11-19,Cần Thơ,2024-04-08,3.7,36
96,Vũ Việt,vuviet44@gmail.com,Nam,2001-06-23,Hà Nội,2023-12-06,3.9,20
97,Trần Việt,tranviet14@gmail.com,Nam,1993-06-04,Hà Nội,2023-04-18,4.5,49
98,Phạm Việt,phamviet78@gmail.com,Nam,1990-05-24,Hà Nội,2023-01-28,4.2,49
99,Hoàng Dung,hoangdung27@gmail.com,Nữ,2001-05-08,HCM,2025-05-07,3.7,20
100,Bùi Hà,buiha44@gmail.com,Nữ,1985-01-02,HCM,2025-12-21,4.1,45
101,Lý Xuân,lyxuan75@gmail.com,Nam,1989-02-28,HCM,2025-07-30,3.0,19
102,Đặng Long,đanglong18@gmail.com,Nam,2000-01-09,Đà Nẵng,2024-09-07,4.9,31
103,Vũ Phúc,vuphuc95@gmail.com,Nam,1988-10-21,Hà Nội,2022-05-14,4.4,10
104,Hoàng Cường,hoangcuong53@gmail.com,Nam,1989-02-18,Hà Nội,2025-02-26,4.5,39
105,Phạm Xuân,phamxuan96@gmail.com,Nam,2004-08-15,Hải Phòng,2025-06-20,3.6,38
106,Đỗ Thảo,đothao79@gmail.com,Nữ,1998-10-24,HCM,2023-09-18,3.2,49
107,Phạm Lan,phamlan52@gmail.com,Nữ,1991-03-08,Hà Nội,2025-07-05,3.3,5
108,Vũ Oanh,vuoanh12@gmail.com,Nữ,1990-05-02,Cần Thơ,2022-01-06,3.5,46
109,Lý Oanh,lyoanh40@gmail.com,Nữ,1994-11-08,HCM,2025-12-10,4.8,41
110,Dương Trang,duongtrang36@gmail.com,Nữ,2003-07-04,HCM,2025-09-16,4.1,42
111,Lý Hà,lyha29@gmail.com,Nữ,1989-01-06,HCM,2023-06-29,4.6,39
112,Đặng Dung,đangdung27@gmail.com,Nữ,2003-12-10,HCM,2023-08-15,4.4,18
113,Đặng Oanh,đangoanh93@gmail.com,Nữ,2001-10-02,Hải Phòng,2025-01-10,4.8,48
114,Hoàng An,hoangan70@gmail.com,Nam,1995-04-22,Cần Thơ,2025-05-21,4.7,37
115,Dương Tuấn,duongtuan70@gmail.com,Nam,2003-10-02,Đà Nẵng,2022-02-12,4.5,12
116,Hồ Oanh,hooanh28@gmail.com,Nữ,2000-03-19,Cần Thơ,2024-11-28,3.9,32
117,Phan Nga,phannga49@gmail.com,Nữ,1987-06-22,Cần Thơ,2024-08-20,3.2,11
118,Ngô Phúc,ngophuc92@gmail.com,Nam,1995-11-13,HCM,2024-04-23,4.6,36
119,Trần Long,tranlong77@gmail.com,Nam,1986-06-04,Cần Thơ,2024-07-20,4.9,26
120,Hồ Đức,hođuc46@gmail.com,Nam,2001-07-02,Hà Nội,2022-01-03,3.4,24
121,Hồ Oanh,hooanh62@gmail.com,Nữ,2004-04-09,Cần Thơ,2024-10-17,4.1,19
122,Đặng Dung,đangdung31@gmail.com,Nữ,1999-11-20,Cần Thơ,2025-12-01,4.6,46
123,Bùi An,buian96@gmail.com,Nam,1990-02-08,Hà Nội,2023-09-29,5.0,8
124,Hồ Minh,hominh47@gmail.com,Nam,1999-08-23,HCM,2022-08-29,3.6,46
125,Lý Phúc,lyphuc91@gmail.com,Nam,1993-04-15,HCM,2024-04-30,4.1,25
126,Bùi Việt,buiviet99@gmail.com,Nam,1991-02-09,Hà Nội,2025-05-12,4.5,27
127,Hoàng Minh,hoangminh22@gmail.com,Nam,1995-05-24,Cần Thơ,2024-11-05,3.6,38
128,Đặng Đức,đangđuc38@gmail.com,Nam,2003-08-18,Cần Thơ,2025-09-13,4.0,22
129,Vũ Oanh,vuoanh17@gmail.com,Nữ,2002-04-23,HCM,2025-01-17,3.5,25
130,Nguyễn Long,nguyenlong19@gmail.com,Nam,1992-12-26,Hà Nội,2024-04-21,3.8,43
131,Nguyễn Hà,nguyenha91@gmail.com,Nữ,1989-02-28,Hà Nội,2024-10-11,4.7,7
132,Nguyễn Việt,nguyenviet43@gmail.com,Nam,2001-07-28,HCM,2024-07-24,4.3,10
133,Dương Lan,duonglan12@gmail.com,Nữ,1987-10-23,HCM,2024-08-19,3.8,6
134,Lý Sơn,lyson45@gmail.com,Nam,1995-06-21,Hà Nội,2025-10-13,4.4,49
135,Nguyễn Thảo,nguyenthao87@gmail.com,Nữ,2000-04-21,Hải Phòng,2025-01-13,4.4,19
136,Vũ Dung,vudung14@gmail.com,Nữ,1992-08-06,Hà Nội,2022-07-05,4.4,2
137,Dương Bình,duongbinh24@gmail.com,Nam,1986-06-12,Hà Nội,2023-10-27,3.9,16
138,Đỗ Tuấn,đotuan33@gmail.com,Nam,2001-03-06,Đà Nẵng,2024-04-23,3.2,25
139,Phạm Phúc,phamphuc55@gmail.com,Nam,2004-04-15,Hà Nội,2025-10-31,4.3,30
140,Nguyễn Hùng,nguyenhung82@gmail.com,Nam,1993-05-22,Hải Phòng,2025-09-27,4.1,5
141,Đỗ Linh,đolinh58@gmail.com,Nữ,1999-12-09,Hải Phòng,2023-12-09,3.9,20
142,Lý Phúc,lyphuc26@gmail.com,Nam,1991-04-13,HCM,2024-02-27,4.1,37
143,Hoàng An,hoangan35@gmail.com,Nam,1994-05-01,Hà Nội,2025-12-03,4.1,44
144,Ngô Phúc,ngophuc87@gmail.com,Nam,1986-04-20,Hà Nội,2025-05-26,4.6,15
145,Hoàng Tuấn,hoangtuan20@gmail.com,Nam,1991-11-04,HCM,2025-06-25,4.8,42
146,Dương Oanh,duongoanh31@gmail.com,Nữ,1986-10-12,HCM,2023-09-25,4.5,6
147,Ngô Nga,ngonga41@gmail.com,Nữ,1994-04-05,Đà Nẵng,2023-11-01,4.6,24
148,Đinh Lan,đinhlan84@gmail.com,Nữ,2001-05-27,Hà Nội,2024-10-24,4.9,19
149,Đặng Cường,đangcuong36@gmail.com,Nam,1995-04-28,HCM,2022-08-24,4.4,44
150,Phan Cường,phancuong64@gmail.com,Nam,1997-01-09,HCM,2025-02-15,4.1,30
151,Ngô Tuấn,ngotuan34@gmail.com,Nam,1996-10-13,Hải Phòng,2025-10-09,4.6,24
152,Phạm Phúc,phamphuc39@gmail.com,Nam,1988-10-18,HCM,2025-10-14,3.7,40
153,Trần Thu,tranthu32@gmail.com,Nữ,1992-12-10,HCM,2025-08-19,4.3,8
154,Nguyễn Linh,nguyenlinh29@gmail.com,Nữ,1989-02-04,Hà Nội,2022-04-03,3.5,35
155,Đặng Mai,đangmai42@gmail.com,Nữ,1989-10-24,Hải Phòng,2024-03-06,4.5,27
156,Đỗ Nga,đonga93@gmail.com,Nữ,1988-01-23,HCM,2024-09-29,3.7,29
157,Lý Mai,lymai98@gmail.com,Nữ,1999-11-12,Đà Nẵng,2023-04-29,4.1,42
158,Vũ Lan,vulan97@gmail.com,Nữ,1996-02-28,Cần Thơ,2022-05-05,4.6,6
159,Hồ Thảo,hothao67@gmail.com,Nữ,1991-01-26,HCM,2025-08-07,3.7,9
160,Trần Minh,tranminh79@gmail.com,Nam,2003-10-07,Đà Nẵng,2023-02-25,4.6,15
161,Dương Hùng,duonghung19@gmail.com,Nam,1995-05-28,Hà Nội,2022-10-30,5.0,9
162,Dương Hải,duonghai71@gmail.com,Nam,2002-11-28,Đà Nẵng,2023-05-29,3.1,1
163,Đỗ Long,đolong54@gmail.com,Nam,1996-03-09,Đà Nẵng,2023-05-03,3.1,48
164,Trần Việt,tranviet60@gmail.com,Nam,1998-08-15,Hà Nội,2024-12-13,4.6,33
165,Đặng Quân,đangquan93@gmail.com,Nam,2003-10-02,HCM,2022-08-12,4.5,43
166,Đặng Thu,đangthu38@gmail.com,Nữ,2001-01-16,Cần Thơ,2023-09-10,4.7,28
167,Ngô Trang,ngotrang36@gmail.com,Nữ,1988-02-03,Hà Nội,2024-10-01,3.6,10
168,Hoàng Thảo,hoangthao52@gmail.com,Nữ,1987-07-20,HCM,2022-09-16,4.1,30
169,Vũ Dung,vudung76@gmail.com,Nữ,2001-11-21,HCM,2025-05-24,4.8,36
170,Đặng Hùng,đanghung48@gmail.com,Nam,1991-07-11,Đà Nẵng,2024-05-30,4.7,26
171,Phan Nga,phannga87@gmail.com,Nữ,1998-11-09,Đà Nẵng,2022-07-14,3.7,10
172,Trần Minh,tranminh95@gmail.com,Nam,2000-02-14,HCM,2022-05-18,3.2,48
173,Bùi Bình,buibinh26@gmail.com,Nam,1996-11-04,Hà Nội,2022-09-24,3.8,43
174,Hoàng Thảo,hoangthao43@gmail.com,Nữ,1998-06-04,HCM,2022-04-16,4.2,14
175,Đặng Khoa,đangkhoa23@gmail.com,Nam,1989-06-28,Đà Nẵng,2025-09-06,4.1,8
176,Phạm Yến,phamyen51@gmail.com,Nữ,1993-09-25,HCM,2025-03-21,4.6,40
177,Đỗ Trang,đotrang89@gmail.com,Nữ,2002-01-06,Đà Nẵng,2022-02-23,3.5,49
178,Phan An,phanan86@gmail.com,Nam,1994-03-19,Hà Nội,2023-11-27,4.3,5
179,Nguyễn Cường,nguyencuong82@gmail.com,Nam,1989-07-14,Hải Phòng,2025-07-20,3.9,11
180,Ngô Long,ngolong69@gmail.com,Nam,1996-01-05,HCM,2023-10-01,3.3,40
181,Trần Lan,tranlan48@gmail.com,Nữ,1986-11-14,Hà Nội,2025-10-12,4.0,29
182,Phạm Xuân,phamxuan72@gmail.com,Nam,1998-06-14,HCM,2023-07-14,3.2,44
183,Bùi Tuấn,buituan97@gmail.com,Nam,2003-01-08,Hải Phòng,2024-09-23,3.8,39
184,Phạm Linh,phamlinh58@gmail.com,Nữ,1986-03-25,Cần Thơ,2022-01-16,3.5,21
185,Đặng Việt,đangviet25@gmail.com,Nam,1988-03-05,HCM,2022-01-16,3.8,46
186,Bùi Minh,buiminh30@gmail.com,Nam,1992-02-13,Đà Nẵng,2024-10-21,4.7,3
187,Đặng Trang,đangtrang75@gmail.com,Nữ,1998-06-19,Cần Thơ,2022-02-08,3.9,26
188,Trần Nam,trannam72@gmail.com,Nam,1998-06-06,Đà Nẵng,2023-08-16,4.6,40
189,Đinh Mai,đinhmai47@gmail.com,Nữ,1999-07-28,Hà Nội,2025-11-13,3.2,28
190,Bùi Cường,buicuong66@gmail.com,Nam,2003-05-24,HCM,2024-03-31,3.7,22
191,Bùi Thu,buithu39@gmail.com,Nữ,1990-09-17,HCM,2022-06-06,3.4,50
192,Ngô Minh,ngominh39@gmail.com,Nam,1996-04-04,Cần Thơ,2023-12-21,3.3,13
193,Lê Xuân,lexuan20@gmail.com,Nam,1990-03-25,Hải Phòng,2025-05-18,4.3,30
194,Đặng Tuấn,đangtuan38@gmail.com,Nam,2003-11-11,Đà Nẵng,2025-04-01,3.3,5
195,Hồ Linh,holinh69@gmail.com,Nữ,2000-10-02,Hà Nội,2024-06-24,3.7,5
196,Đặng Bình,đangbinh85@gmail.com,Nam,1994-06-27,Hà Nội,2024-08-03,3.6,42
197,Đỗ Quân,đoquan82@gmail.com,Nam,1987-08-19,Đà Nẵng,2025-06-13,4.1,48
198,Đinh Yến,đinhyen18@gmail.com,Nữ,1986-06-20,Cần Thơ,2024-07-10,4.0,10
199,Trần Yến,tranyen97@gmail.com,Nữ,1986-12-03,Cần Thơ,2024-07-11,4.0,12
200,Ngô Oanh,ngooanh96@gmail.com,Nữ,1986-09-17,Cần Thơ,2023-05-23,4.2,24
201,Vũ Nga,vunga23@gmail.com,Nữ,1996-11-20,Đà Nẵng,2023-08-03,3.1,41
202,Phan Dung,phandung35@gmail.com,Nữ,1995-05-09,HCM,2022-05-15,4.4,43
203,Phan Cường,phancuong80@gmail.com,Nam,2004-06-10,HCM,2022-11-04,4.9,45
204,Đỗ Uyên,đouyen71@gmail.com,Nữ,1997-05-18,Cần Thơ,2022-09-22,3.8,22
205,Ngô Minh,ngominh40@gmail.com,Nam,1989-11-22,Đà Nẵng,2025-10-04,3.8,24
206,Hoàng Hải,hoanghai73@gmail.com,Nam,1985-06-25,HCM,2024-01-13,4.0,15
207,Trần Linh,tranlinh47@gmail.com,Nữ,1989-09-25,HCM,2022-11-14,4.1,48
208,Hồ Long,holong65@gmail.com,Nam,2001-10-13,Đà Nẵng,2022-03-19,3.3,12
209,Ngô Oanh,ngooanh52@gmail.com,Nữ,2004-07-12,HCM,2022-12-06,4.4,16
210,Hoàng Xuân,hoangxuan22@gmail.com,Nam,1999-04-18,HCM,2025-06-04,3.5,31
211,Hồ Tâm,hotam82@gmail.com,Nữ,1991-08-25,Hà Nội,2024-01-24,3.6,25
212,Vũ Hải,vuhai97@gmail.com,Nam,2001-10-05,Đà Nẵng,2024-12-16,4.7,4
213,Bùi Trang,buitrang92@gmail.com,Nữ,2000-12-28,Đà Nẵng,2024-01-31,4.0,8
214,Dương Hải,duonghai11@gmail.com,Nam,1994-08-17,HCM,2022-06-21,3.3,28
215,Lý Oanh,lyoanh35@gmail.com,Nữ,1987-01-14,Đà Nẵng,2023-03-31,3.1,33
216,Vũ Cường,vucuong73@gmail.com,Nam,1996-04-01,HCM,2023-04-28,3.6,7
217,Lê Bình,lebinh20@gmail.com,Nam,1995-08-23,Hà Nội,2022-10-27,4.7,49
218,Đỗ An,đoan59@gmail.com,Nam,2000-01-09,Đà Nẵng,2024-07-07,3.4,10
219,Bùi Nga,buinga78@gmail.com,Nữ,2002-05-08,Đà Nẵng,2025-05-31,3.6,4
220,Hồ Yến,hoyen44@gmail.com,Nữ,1992-02-04,Cần Thơ,2024-05-09,4.7,32
221,Nguyễn Thu,nguyenthu62@gmail.com,Nữ,2004-12-05,Đà Nẵng,2025-01-02,3.6,1
222,Phạm Tâm,phamtam64@gmail.com,Nữ,2004-03-22,Đà Nẵng,2023-12-24,4.3,34
223,Bùi Sơn,buison82@gmail.com,Nam,1996-07-28,HCM,2022-05-19,3.9,41
224,Hoàng Việt,hoangviet29@gmail.com,Nam,1997-06-26,Hà Nội,2024-02-04,3.1,16
225,Ngô Xuân,ngoxuan33@gmail.com,Nam,1988-03-02,HCM,2025-04-06,3.7,22
226,Đặng Uyên,đanguyen94@gmail.com,Nữ,1990-11-06,HCM,2025-11-03,4.6,5
227,Hoàng Huy,hoanghuy92@gmail.com,Nam,1999-04-02,Hải Phòng,2022-03-17,3.6,20
228,Lý Sơn,lyson70@gmail.com,Nam,2001-05-02,Hà Nội,2024-03-26,4.5,13
229,Lý Xuân,lyxuan50@gmail.com,Nam,1994-11-11,Cần Thơ,2024-01-02,3.5,24
230,Ngô Oanh,ngooanh44@gmail.com,Nữ,1998-06-06,Đà Nẵng,2024-03-30,4.0,32
231,Hoàng Yến,hoangyen91@gmail.com,Nữ,1996-12-14,Cần Thơ,2024-11-29,3.2,39
232,Hoàng Long,hoanglong37@gmail.com,Nam,1990-02-11,Hà Nội,2025-01-22,4.3,20
233,Ngô Nga,ngonga21@gmail.com,Nữ,1999-12-15,Đà Nẵng,2025-05-19,3.7,3
234,Vũ Lan,vulan39@gmail.com,Nữ,1996-02-22,Hà Nội,2025-06-13,4.3,24
235,Lê An,lean75@gmail.com,Nam,2001-10-22,HCM,2025-10-23,4.6,3
236,Phạm Xuân,phamxuan89@gmail.com,Nam,1989-06-13,Đà Nẵng,2022-05-18,4.9,3
237,Hồ Oanh,hooanh10@gmail.com,Nữ,2004-06-15,HCM,2022-11-11,4.5,37
238,Phan Nam,phannam95@gmail.com,Nam,1989-11-09,HCM,2024-12-20,3.5,8
239,Đặng Quân,đangquan44@gmail.com,Nam,1985-09-04,Đà Nẵng,2023-01-17,3.5,17
240,Đỗ Linh,đolinh79@gmail.com,Nữ,1999-04-04,HCM,2023-03-16,3.3,5
241,Đinh Uyên,đinhuyen20@gmail.com,Nữ,1999-02-26,Hải Phòng,2022-12-20,4.4,21
242,Trần Sơn,transon28@gmail.com,Nam,1996-05-28,Hải Phòng,2025-12-24,3.3,46
243,Bùi Khoa,buikhoa21@gmail.com,Nam,1990-04-26,Hải Phòng,2024-01-11,3.3,32
244,Bùi Tâm,buitam77@gmail.com,Nữ,1985-08-26,Hà Nội,2024-01-10,5.0,9
245,Trần Linh,tranlinh57@gmail.com,Nữ,2004-12-24,HCM,2022-06-26,4.0,27
246,Trần Hà,tranha23@gmail.com,Nữ,1998-11-03,Hải Phòng,2025-03-23,3.9,44
247,Lê Hùng,lehung33@gmail.com,Nam,2001-03-14,Hà Nội,2023-12-07,4.0,4
248,Lê Linh,lelinh51@gmail.com,Nữ,1988-03-11,Hải Phòng,2024-11-27,4.9,15
249,Đinh Linh,đinhlinh41@gmail.com,Nữ,1996-05-07,Hải Phòng,2024-11-28,4.3,36
250,Hồ Linh,holinh37@gmail.com,Nữ,1993-09-21,Cần Thơ,2022-09-14,3.3,38
251,Hồ Thảo,hothao75@gmail.com,Nữ,1989-10-02,HCM,2022-12-17,4.7,2
252,Hồ Xuân,hoxuan29@gmail.com,Nam,1987-11-07,Hà Nội,2022-04-04,4.5,27
253,Nguyễn Phúc,nguyenphuc58@gmail.com,Nam,2004-11-10,Cần Thơ,2025-08-01,4.0,44
254,Đặng Cường,đangcuong87@gmail.com,Nam,1997-03-15,Hà Nội,2023-09-02,3.8,30
255,Đỗ Hà,đoha37@gmail.com,Nữ,1991-12-11,HCM,2023-11-28,4.5,23
256,Dương Mai,duongmai57@gmail.com,Nữ,1997-06-08,Đà Nẵng,2022-09-25,3.9,18
257,Lê Dung,ledung15@gmail.com,Nữ,1999-05-13,Hải Phòng,2023-05-23,4.7,27
258,Lý Long,lylong62@gmail.com,Nam,1992-04-25,Đà Nẵng,2022-11-24,3.3,33
